Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
6029273333,Eater NY,,eaterny,Society & Culture Website,0.26,606865,6403,yes,https://www.facebook.com/eaterny/
287560452086,AMC,,amc,TV Network,0.02,3067582,4734,yes,https://www.facebook.com/amc/
7470710094,BT,,bt,Artist,0.03,843836,2531,no,https://www.facebook.com/bt/
1048091338583119,Verge Science,,vergescience,Media/News Company,0.29,268071,20161,yes,https://www.facebook.com/vergescience/
156065174628,Curbed SF,,curbedsf,Local & Travel Website,0.34,23037,835,yes,https://www.facebook.com/curbedsf/
568451346578186,Recode,,RecodeDotNet,Media/News Company,0.5,325470,8046,no,https://www.facebook.com/RecodeDotNet/
1560128030946687,Circuit Breaker,,circuitbreaker,Media/News Company,0.33,1034636,46210,yes,https://www.facebook.com/circuitbreaker/
20531316728,Facebook,,facebook,Website,0,206577566,111777,no,https://www.facebook.com/facebook/
791412954249306,Every Day Should Be Saturday,,EDSBS.sbnation,Media/News Company,0,2120,5,yes,https://www.facebook.com/EDSBS.sbnation/
282056745312897,SB Nation College Basketball,,SBNationCBB,Media/News Company,0.03,2785,39,yes,https://www.facebook.com/SBNationCBB/
13950081604,NCAA,,ncaastudents,Nonprofit Organization,0.05,283926,2645,no,https://www.facebook.com/ncaastudents/
46299886275,UFC,,UFC,Company,0.4,22347054,182569,yes,https://www.facebook.com/UFC/
5768707450,MLB,,mlb,Sports League,0.23,6906361,71370,no,https://www.facebook.com/mlb/
8245623462,NBA,,nba,Sports League,0.83,34807874,1423825,no,https://www.facebook.com/nba/
1539014136324176,SBNation Soccer,,sbnsoccer,Media/News Company,0.03,7463,83,yes,https://www.facebook.com/sbnsoccer/
634849843251821,Shakin The Southland,,stsouthland,Website,0.03,2313,15,yes,https://www.facebook.com/stsouthland/
110080135682122,Dhani Jones,,,Athlete,0.01,28766,23,yes,https://www.facebook.com/Dhani-Jones-110080135682122/
210150045675806,Bomani Jones,,bomanijones,Public Figure,0.03,36655,183,yes,https://www.facebook.com/bomanijones/
8389383510,Sprint,,sprint,Telecommunication Company,0.04,3563558,11613,yes,https://www.facebook.com/sprint/
295277080511100,Stride Nation,,,Website,0,799,0,yes,https://www.facebook.com/Stride-Nation-295277080511100/
143203489108626,SB Nation NBA,,SBNationNBA,Media/News Company,0.24,604927,12874,yes,https://www.facebook.com/SBNationNBA/
312055897904,Jeff Gluck,,jeffglucknascar,Journalist,0.02,10320,179,yes,https://www.facebook.com/jeffglucknascar/
201491739872419,Baseball Nation,,,Website,0,4680,1,no,https://www.facebook.com/Baseball-Nation-201491739872419/
