Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
108777469140406,Testudo Times,,testudotimes,Website,0.15,5114,557,yes,https://www.facebook.com/testudotimes/
328533175906,BC Interruption,,bcinterruption,School Sports Team,0.11,7516,305,yes,https://www.facebook.com/bcinterruption/
26293389786,Ridiculous Upside,,,Recreation & Sports Website,0.02,822,2,yes,https://www.facebook.com/Ridiculous-Upside-26293389786/
121996394480471,MGoBlog,,,Recreation & Sports Website,0.11,9218,171,no,https://www.facebook.com/MGoBlog-121996394480471/
49315971845,The Crawfish Boxes,,CrawfishBoxes,Recreation & Sports Website,0.02,6033,17,yes,https://www.facebook.com/CrawfishBoxes/
127641430593636,SB Nation Seattle,,SBNationSeattle,Sports Team,0,1301,0,yes,https://www.facebook.com/SBNationSeattle/
65447635155,Black Heart Gold Pants,,BlackHeartGoldPants,Website,0.1,9059,319,yes,https://www.facebook.com/BlackHeartGoldPants/
107095322667861,Blazer's Edge,,Blazersedge,Recreation & Sports Website,0.21,116881,1865,yes,https://www.facebook.com/Blazersedge/
146034731206,Bullets Forever,,bulletsforever,Recreation & Sports Website,0.15,102436,687,yes,https://www.facebook.com/bulletsforever/
63264950770,TomahawkNation.com,,TomahawkNation,School Sports Team,0.2,104621,3466,no,https://www.facebook.com/TomahawkNation/
12575526037,Gobbler Country,,gobblercountry,Website,0.05,4752,153,yes,https://www.facebook.com/gobblercountry/
58832404420,Burnt Orange Nation,,BurntOrangeNationBlog,School Sports Team,0.17,77057,3488,yes,https://www.facebook.com/BurntOrangeNationBlog/
108216677310,Vanquish The Foe,,vanquishthefoe,Recreation & Sports Website,0.06,5151,481,yes,https://www.facebook.com/vanquishthefoe/
155256671897,Celtics Blog,,celticsblog,Sports Team,0.13,135247,1946,yes,https://www.facebook.com/celticsblog/
115111781837903,AZ Snakepit,,azsnakepit,Recreation & Sports Website,0.03,1288,18,yes,https://www.facebook.com/azsnakepit/
20367820185,Building the Dam,,buildingthedam,Website,0.11,623,48,yes,https://www.facebook.com/buildingthedam/
103093886397382,Crimson And Cream Machine,,CrimsonandCreamMachine,Recreation & Sports Website,0.11,6206,925,yes,https://www.facebook.com/CrimsonandCreamMachine/
41358349994,Blogger So Dear,,BloggerSoDear,Recreation & Sports Website,0.04,2908,105,yes,https://www.facebook.com/BloggerSoDear/
103948696308392,The Daily Stampede - For USF Fans,,thedailystampede,School Sports Team,0.06,2453,380,yes,https://www.facebook.com/thedailystampede/
292000846947,Sounder at Heart,,SounderAtHeart,Recreation & Sports Website,0.13,74892,1177,yes,https://www.facebook.com/SounderAtHeart/
102654259770128,Minor League Ball,,MinorLeagueBall,Recreation & Sports Website,0.07,2395,36,yes,https://www.facebook.com/MinorLeagueBall/
68656868417,Liberty Ballers,,LibertyBallers,Recreation & Sports Website,0.05,5134,47,yes,https://www.facebook.com/LibertyBallers/
322873594074,Backing The Pack,,backingthepack,Company,0.04,1683,166,yes,https://www.facebook.com/backingthepack/
17218724167,Bring On The Cats,,bringonthecats,Recreation & Sports Website,0.14,16530,2823,yes,https://www.facebook.com/bringonthecats/
109669565726510,Posting and Toasting,,,Recreation & Sports Website,0.01,2714,4,yes,https://www.facebook.com/Posting-and-Toasting-109669565726510/
109164455776205,The Nova Blog,,thenovablog,Recreation & Sports Website,0,253,0,yes,https://www.facebook.com/thenovablog/
361914681792,Silver Screen and Roll,,SilverScreenAndRoll,Recreation & Sports Website,0.09,185618,1376,no,https://www.facebook.com/SilverScreenAndRoll/
13419601347,One Bronco Nation Under God,,obnug,Recreation & Sports Website,0.06,3874,98,yes,https://www.facebook.com/obnug/
302789878228,Swish Appeal,,SwishAppeal,Recreation & Sports Website,0.16,2478,206,yes,https://www.facebook.com/SwishAppeal/
285440674555,Bleed Cubbie Blue,,,Recreation & Sports Website,0.25,99709,2929,yes,https://www.facebook.com/Bleed-Cubbie-Blue-285440674555/
225272125159,Stanley Cup of Chowder,,,Recreation & Sports Website,0.31,8294,2074,yes,https://www.facebook.com/Stanley-Cup-of-Chowder-225272125159/
143563791843,Bright Side of the Sun,,brightsideofthesun,Recreation & Sports Website,0.04,73603,212,yes,https://www.facebook.com/brightsideofthesun/
124769474222626,SB Nation St. Louis,,sbnstlouis,Recreation & Sports Website,0,558,0,yes,https://www.facebook.com/sbnstlouis/
102154693166715,SB Nation Philly,,SBNationPhilly,Recreation & Sports Website,0,946,1,yes,https://www.facebook.com/SBNationPhilly/
125182520845511,SB Nation New York,,SBNationNewYork,Website,0,1217,1,yes,https://www.facebook.com/SBNationNewYork/
119404344767319,SB Nation Los Angeles,,SBNationLosAngeles,Recreation & Sports Website,0,804,1,yes,https://www.facebook.com/SBNationLosAngeles/
127315027298598,SB Nation Kansas City,,SBNationKansasCity,Website,0,1035,0,yes,https://www.facebook.com/SBNationKansasCity/
122527357786003,SB Nation Houston,,SBNationHouson,Recreation & Sports Website,0,522,2,yes,https://www.facebook.com/SBNationHouson/
122565594448143,SB Nation Detroit,,sbnationdetroit,Recreation & Sports Website,0,1161,1,yes,https://www.facebook.com/sbnationdetroit/
102166036499869,SB Nation Denver,,SBNationDenver,Recreation & Sports Website,0,658,0,yes,https://www.facebook.com/SBNationDenver/
132447296771023,SB Nation Dallas,,SBNationDallas,Website,0,817,2,yes,https://www.facebook.com/SBNationDallas/
127523070608479,SB Nation DC,,,Recreation & Sports Website,0,1052,0,yes,https://www.facebook.com/SB-Nation-DC-127523070608479/
102137693168872,SB Nation Cleveland,,SBNationCleveland,Website,0,474,0,yes,https://www.facebook.com/SBNationCleveland/
122640831109803,SB Nation Bay Area,,SBNationBayArea,Recreation & Sports Website,0,1315,0,yes,https://www.facebook.com/SBNationBayArea/
427438974033956,SB Nation College Football,,sbnationcollegefootball,News & Media Website,0.19,69421,692,no,https://www.facebook.com/sbnationcollegefootball/
23828686503,Corn Nation,,SBNCornNation,School Sports Team,0.11,33234,1198,yes,https://www.facebook.com/SBNCornNation/
323571966880,BloodyElbow.com,,bloodyelbowblog,Recreation & Sports Website,0.7,307330,9899,no,https://www.facebook.com/bloodyelbowblog/
305396983064,Anchor of Gold,,AnchorOfGold,Recreation & Sports Website,0.01,3182,3,yes,https://www.facebook.com/AnchorOfGold/
125283784169149,SB Nation Arizona,,sbnarizona,Recreation & Sports Website,0,957,1,yes,https://www.facebook.com/sbnarizona/
39075202624,Outsports,,OutsportsSBN,Company,0.1,18365,2130,yes,https://www.facebook.com/OutsportsSBN/
1528519747445222,Hack Harassment,,HackHarassment,Community Organization,0.01,4871,1,yes,https://www.facebook.com/HackHarassment/
11309713071,Bill & Melinda Gates Foundation,,gatesfoundation,Nonprofit Organization,0.02,1435905,4664,no,https://www.facebook.com/gatesfoundation/
367116489976035,I fucking love science,,IFeakingLoveScience,Science Website,0.68,25819482,1949620,yes,https://www.facebook.com/IFeakingLoveScience/
7642602143,Mother Jones,,motherjones,Magazine,0.36,1563356,240671,no,https://www.facebook.com/motherjones/
20446254070,Business Insider,,businessinsider,Business & Economy Website,4.84,8119301,430373,no,https://www.facebook.com/businessinsider/
