Source,Target,Type,Id,Label,timeset,Weight
223649167822693,1616116568689444,Directed,0,,,1
223649167822693,199848990041080,Directed,1,,,1
223649167822693,438342399587801,Directed,2,,,1
223649167822693,285792341874606,Directed,3,,,1
223649167822693,311794742573348,Directed,4,,,1
223649167822693,1785047065086241,Directed,5,,,1
223649167822693,571863472910950,Directed,6,,,1
223649167822693,117471031636168,Directed,7,,,1
223649167822693,109281389102062,Directed,8,,,1
223649167822693,111376838888644,Directed,9,,,1
223649167822693,340327135979921,Directed,10,,,1
223649167822693,193742123995472,Directed,11,,,1
223649167822693,39606211535,Directed,12,,,1
223649167822693,218289944904955,Directed,13,,,1
223649167822693,232843448409,Directed,14,,,1
223649167822693,742532909103741,Directed,15,,,1
199848990041080,232843448409,Directed,16,,,1
199848990041080,22898109808,Directed,17,,,1
438342399587801,665024873565704,Directed,18,,,1
438342399587801,21516776437,Directed,19,,,1
438342399587801,103921782727,Directed,20,,,1
438342399587801,75467339012,Directed,21,,,1
438342399587801,10974002364,Directed,22,,,1
438342399587801,223649167822693,Directed,23,,,1
438342399587801,742532909103741,Directed,24,,,1
438342399587801,232843448409,Directed,25,,,1
285792341874606,438342399587801,Directed,26,,,1
285792341874606,451491168371624,Directed,27,,,1
285792341874606,311794742573348,Directed,28,,,1
285792341874606,232843448409,Directed,29,,,1
285792341874606,742532909103741,Directed,30,,,1
285792341874606,405227099595461,Directed,31,,,1
285792341874606,223649167822693,Directed,32,,,1
311794742573348,232843448409,Directed,33,,,1
311794742573348,223649167822693,Directed,34,,,1
311794742573348,438342399587801,Directed,35,,,1
311794742573348,285792341874606,Directed,36,,,1
1785047065086241,232843448409,Directed,37,,,1
1785047065086241,223649167822693,Directed,38,,,1
117471031636168,94300828653,Directed,39,,,1
117471031636168,282738158446876,Directed,40,,,1
117471031636168,277053775685865,Directed,41,,,1
109281389102062,72311242941,Directed,42,,,1
109281389102062,225910107814,Directed,43,,,1
109281389102062,478938988808636,Directed,44,,,1
109281389102062,103172802652,Directed,45,,,1
109281389102062,233772506718746,Directed,46,,,1
109281389102062,20668185018,Directed,47,,,1
109281389102062,207684292605878,Directed,48,,,1
109281389102062,32192097511,Directed,49,,,1
109281389102062,266351330231,Directed,50,,,1
109281389102062,33331950906,Directed,51,,,1
109281389102062,117787631775,Directed,52,,,1
109281389102062,59672929326,Directed,53,,,1
109281389102062,211774705524116,Directed,54,,,1
109281389102062,49501042917,Directed,55,,,1
109281389102062,424206420965615,Directed,56,,,1
109281389102062,34888244242,Directed,57,,,1
109281389102062,111580660349,Directed,58,,,1
109281389102062,131423866879291,Directed,59,,,1
109281389102062,91863537504,Directed,60,,,1
109281389102062,22616629151,Directed,61,,,1
109281389102062,41881016652,Directed,62,,,1
109281389102062,21415640912,Directed,63,,,1
109281389102062,88573992939,Directed,64,,,1
109281389102062,117127335022717,Directed,65,,,1
109281389102062,316228488429887,Directed,66,,,1
109281389102062,115057772089,Directed,67,,,1
109281389102062,190341761036273,Directed,68,,,1
109281389102062,181436012037561,Directed,69,,,1
109281389102062,17182384243,Directed,70,,,1
109281389102062,10936503735,Directed,71,,,1
109281389102062,107418161415,Directed,72,,,1
109281389102062,303064609725719,Directed,73,,,1
109281389102062,135748000675,Directed,74,,,1
109281389102062,126546467393526,Directed,75,,,1
109281389102062,18015425318,Directed,76,,,1
109281389102062,14856729724,Directed,77,,,1
109281389102062,8080683959,Directed,78,,,1
109281389102062,10109514234,Directed,79,,,1
109281389102062,7962048097,Directed,80,,,1
109281389102062,5551369597,Directed,81,,,1
109281389102062,111376838888644,Directed,82,,,1
109281389102062,6029273333,Directed,83,,,1
340327135979921,287560452086,Directed,84,,,1
340327135979921,7470710094,Directed,85,,,1
